family,days_per_week,phase_name,week_archetype,slot_1,slot_2,slot_3,slot_4,slot_5,long_run_slot,specific_touch_count,supports_floating_rest,protected_recovery_rule,notes
10k_foundation,2,base,tenk_2d_base,"support_easy_or_recovery","long_aerobic_run","rest_or_floating","rest_or_floating","rest_or_floating",slot_2,0,yes,"next_running_slot_after_long_run_must_be_recovery_or_easy","no specificity yet; long runway only"
10k_foundation,2,progression_rhythm,tenk_2d_alternating_development,"progression_run_or_easy_run_with_strides","long_aerobic_run","rest_or_floating","rest_or_floating","rest_or_floating",slot_2,1,yes,"if slot_2 is long run then next running slot must stay easy or recovery","development weeks may alternate with support-only weeks"
10k_foundation,2,cutback_recovery,tenk_2d_cutback,"recovery_jog_or_easy_aerobic_run","cutback_long_run","rest_or_floating","rest_or_floating","rest_or_floating",slot_2,0,yes,"cutback week must visibly reduce long-run load","cutback cannot hide specificity"
10k_foundation,2,completion,tenk_2d_completion,"10k_completion_or_checkpoint","easy_recovery_support","rest_or_floating","rest_or_floating","rest_or_floating",slot_1,1,yes,"checkpoint week cannot also carry a hard long run","explicit 10K endpoint required"
10k_foundation,3,base,tenk_3d_base,"easy_aerobic_run","support_steady_or_strides","long_aerobic_run","rest_or_floating","rest_or_floating",slot_3,0,yes,"post-long-run next running slot must be recovery or easy","base weeks should not collapse into identical copies forever"
10k_foundation,3,progression_rhythm,tenk_3d_specific,"easy_aerobic_run","progression_run_or_time_intervals","long_aerobic_run","rest_or_floating","rest_or_floating",slot_3,1,yes,"specific slot must not sit immediately after long run","safe one-touch specificity only"
10k_foundation,4-5,progression_rhythm,tenk_45d_specific,"recovery_jog","specific_10k_touch","support_steady_or_strides","easy_aerobic_run","long_aerobic_run",slot_5,1,yes,"post-long-run next running slot must be recovery or easy","specific touch may be progression, controlled tempo, or 10K rhythm"
10k_foundation,4-5,completion,tenk_45d_completion,"recovery_jog","light_support_or_strides","10k_completion_or_checkpoint","easy_aerobic_run","cutback_or_short_long_support",slot_3,1,yes,"completion week must unload around the 10K endpoint","no extra hard touch in same week"
half_marathon_balanced,2,base,half_2d_base,"support_easy_or_recovery","long_aerobic_run","rest_or_floating","rest_or_floating","rest_or_floating",slot_2,0,yes,"next running slot after long run must be easy or recovery","narrow viable case only"
half_marathon_balanced,2,half_specificity,half_2d_alternating_specificity,"controlled_tempo_or_progression","long_run_with_or_without_steady_finish","rest_or_floating","rest_or_floating","rest_or_floating",slot_2,1,yes,"steady-finish long run counts as weekly specific touch","alternate development weeks are acceptable"
half_marathon_balanced,3,base,half_3d_base,"easy_aerobic_run","steady_aerobic_run","long_aerobic_run","rest_or_floating","rest_or_floating",slot_3,0,yes,"next running slot after long run must be easy or recovery","base weeks should build durable rhythm"
half_marathon_balanced,3,progression_tempo,half_3d_specific,"easy_aerobic_run","controlled_tempo_or_progression","long_aerobic_run","rest_or_floating","rest_or_floating",slot_3,1,yes,"specific touch must stay separated from long run","half-specificity grows gradually"
half_marathon_balanced,4-5,threshold_durability,half_45d_threshold,"recovery_jog","half_specific_midweek_touch","steady_aerobic_run","easy_aerobic_run","long_aerobic_run_or_steady_finish",slot_5,1,yes,"if long run has steady finish then midweek touch must be lighter","no two-quality-week logic"
half_marathon_balanced,4-5,completion,half_45d_readiness,"recovery_jog","light_controlled_specificity","easy_aerobic_run","readiness_marker_or_long_run_specificity","support_easy",slot_4,1,yes,"final readiness week must not stack hard load","explicit half-readiness marker required"
marathon_base,3,base,marathon_3d_base,"easy_aerobic_run","steady_aerobic_run_or_recovery_jog","long_aerobic_run","rest_or_floating","rest_or_floating",slot_3,0,yes,"next running slot after long run must be easy or recovery","marathon base starts support-heavy"
marathon_base,3,marathon_specificity,marathon_3d_specific,"easy_aerobic_run","marathon_steady_specificity","long_aerobic_run","rest_or_floating","rest_or_floating",slot_3,1,yes,"marathon-specific slot must stay away from long-run fatigue pileup","single specificity touch only"
marathon_base,3,long_run_specificity,marathon_3d_long_specific,"recovery_jog","steady_aerobic_run","long_run_with_steady_finish","rest_or_floating","rest_or_floating",slot_3,1,yes,"steady-finish long run counts as the week's specific touch","do not pair with midweek hard specificity"
marathon_base,4-5,marathon_specificity,marathon_45d_specific,"recovery_jog","marathon_steady_specificity","steady_aerobic_run","easy_aerobic_run","long_aerobic_run",slot_5,1,yes,"post-long-run next running slot must be recovery or easy","controlled tempo is optional support only"
marathon_base,4-5,long_run_specificity,marathon_45d_long_specific,"recovery_jog","steady_aerobic_run","easy_aerobic_run","support_easy","long_run_with_steady_finish",slot_5,1,yes,"steady-finish long run replaces midweek bigger specificity","long-run intent must be visible"
marathon_base,4-5,base_endpoint,marathon_45d_endpoint,"recovery_jog","light_marathon_steady_or_support","easy_aerobic_run","support_easy","base_endpoint_long_run_or_shorter_specific_long",slot_5,1,yes,"endpoint week must not imitate race taper or peak","explicit base endpoint only"
